Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Orah jezgra 500 g;2022-10-03;https://web.archive.org/web/20221003233456/https://www.konzum.hr/web/products/orah-jezgra-500-g;39,99 kn;5.31 €
Orah jezgra 500 g;2023-03-26;https://web.archive.org/web/20230326112137/https://www.konzum.hr/web/products/orah-jezgra-500-g;4,99 €;4.99 €
Orah jezgra 500 g;2023-05-11;https://web.archive.org/web/20230511153640/https://www.konzum.hr/web/products/orah-jezgra-500-g;4,99 €;4.99 €
Orah jezgra 500 g;2023-09-23;https://web.archive.org/web/20230923200428/https://www.konzum.hr/web/products/orah-jezgra-500-g;4,99 €;4.99 €
Orah jezgra 500 g;2024-04-18;https://web.archive.org/web/20240418032130/https://www.konzum.hr/web/products/orah-jezgra-500-g;3,99 €;3.99 €
Orah jezgra 500 g;2024-09-08;https://web.archive.org/web/20240908084942/https://www.konzum.hr/web/products/orah-jezgra-500-g;4,49 €;4.49 €
Orah jezgra 500 g;2025-01-15;https://web.archive.org/web/20250115075900/https://www.konzum.hr/web/products/orah-jezgra-500-g;5,49 €;5.49 €
Orah jezgra 500 g;2025-02-14;https://web.archive.org/web/20250214115217/https://www.konzum.hr/web/products/orah-jezgra-500-g;5,49 €;5.49 €
Orah jezgra 500 g;2025-03-13;https://web.archive.org/web/20250313004842/https://www.konzum.hr/web/products/orah-jezgra-500-g;5,49 €;5.49 €
