Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Dorina Čokolada mliječna 250 g;2021-04-11;https://web.archive.org/web/20210411074441/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;16,99 kn;2.25 €
Dorina Čokolada mliječna 250 g;2022-08-07;https://web.archive.org/web/20220807225228/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;17,99 kn;2.39 €
Dorina Čokolada mliječna 250 g;2023-02-06;https://web.archive.org/web/20230206132614/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;2,65 €;2.65 €
Dorina Čokolada mliječna 250 g;2023-05-11;https://web.archive.org/web/20230511153616/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;2,65 €;2.65 €
Dorina Čokolada mliječna 250 g;2024-02-27;https://web.archive.org/web/20240227042312/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;2,65 €;2.65 €
Dorina Čokolada mliječna 250 g;2024-06-19;https://web.archive.org/web/20240619045530/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;4,49 €;4.49 €
Dorina Čokolada mliječna 250 g;2024-09-10;https://web.archive.org/web/20240910045840/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;4,49 €;4.49 €
Dorina Čokolada mliječna 250 g;2024-11-22;https://web.archive.org/web/20241122063653/https://www.konzum.hr/web/products/dorina-mlijecna-cokolada-250-g;4,49 €;4.49 €
