Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Štark Smoki 130 g;2022-05-16;https://web.archive.org/web/20220516062215/https://www.konzum.hr/web/products/stark-smoki-130-g;8,49 kn;1.13 €
Štark Smoki 130 g;2022-10-02;https://web.archive.org/web/20221002073950/https://www.konzum.hr/web/products/stark-smoki-130-g;8,49 kn;1.13 €
Štark Smoki 130 g;2023-02-02;https://web.archive.org/web/20230202222129/https://www.konzum.hr/web/products/stark-smoki-130-g;1,13 €;1.13 €
Štark Smoki 130 g;2023-12-07;https://web.archive.org/web/20231207075958/https://www.konzum.hr/web/products/stark-smoki-130-g;1,19 €;1.19 €
Štark Smoki 130 g;2024-06-20;https://web.archive.org/web/20240620065927/https://www.konzum.hr/web/products/stark-smoki-130-g;1,29 €;1.29 €
Štark Smoki 130 g;2024-10-16;https://web.archive.org/web/20241016021635/https://www.konzum.hr/web/products/stark-smoki-130-g;1,29 €;1.29 €
Štark Smoki 130 g;2025-01-21;https://web.archive.org/web/20250121130544/https://www.konzum.hr/web/products/stark-smoki-130-g;1,29 €;1.29 €
