Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
K Plus Trajno mlijeko 2,8% m.m. 1 l;2021-01-19;https://web.archive.org/web/20210119124951/https://www.konzum.hr/web/products/k-plus-trajno-mlijeko-2-8-m-m-1-l-90219803;4,99 kn;0.66 €
K Plus Trajno mlijeko 2,8% m.m. 1 l;2021-10-25;https://web.archive.org/web/20211025020217/https://www.konzum.hr/web/products/k-plus-trajno-mlijeko-2-8-m-m-1-l-90219803;4,99 kn;0.66 €
K Plus Trajno mlijeko 2,8% m.m. 1 l;2022-05-27;https://web.archive.org/web/20220527194952/https://www.konzum.hr/web/products/k-plus-trajno-mlijeko-2-8-m-m-1-l-90219803;6,99 kn;0.93 €
K Plus Trajno mlijeko 2,8% m.m. 1 l;2022-12-08;https://web.archive.org/web/20221208104223/https://www.konzum.hr/web/products/k-plus-trajno-mlijeko-2-8-m-m-1-l-90219803;7,29 kn;0.97 €
K Plus Trajno mlijeko 2,8% m.m. 1 l;2023-03-31;https://web.archive.org/web/20230331200300/https://www.konzum.hr/web/products/k-plus-trajno-mlijeko-2-8-m-m-1-l-90219803;0,92 €;0.92 €
K Plus Trajno mlijeko 2,8% m.m. 1 l;2025-02-03;https://web.archive.org/web/20250203093459/https://www.konzum.hr/web/products/k-plus-trajno-mlijeko-2-8-m-m-1-l-90219803;0,80 €;0.80 €
