Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Daisy aloe vera tekući sapun 1 l;2021-06-23;https://web.archive.org/web/20210623002222/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;0.93 €;0.93 €
Daisy Tekući sapun aloe vera 1 l;2022-05-25;https://web.archive.org/web/20220525111136/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;0.99 €;0.99 €
Daisy Tekući sapun aloe vera 1 l;2022-09-30;https://web.archive.org/web/20220930103737/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;0.99 €;0.99 €
Daisy Tekući sapun aloe vera 1 l;2023-03-22;https://web.archive.org/web/20230322041256/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;0.99 €;0.99 €
Daisy Tekući sapun aloe vera 1 l;2023-12-04;https://web.archive.org/web/20231204204231/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;1.15 €;1.15 €
Daisy Tekući sapun aloe vera 1 l;2024-04-13;https://web.archive.org/web/20240413135511/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;1.15 €;1.15 €
Daisy Tekući sapun aloe vera 1 l;2024-07-20;https://web.archive.org/web/20240720074011/https://www.konzum.hr/web/products/daisy-aloe-vera-tekuci-sapun-1-l;1.15 €;1.15 €
