Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Franck Kikiriki slani 500 g;2021-10-27;https://web.archive.org/web/20211027164641/https://www.konzum.hr/web/products/kikiriki-500-g;25,99 kn;3.45 €
Franck Kikiriki slani 500 g;2022-05-23;https://web.archive.org/web/20220523182017/https://www.konzum.hr/web/products/kikiriki-500-g;26,99 kn;3.58 €
Franck Kikiriki slani 500 g;2022-10-07;https://web.archive.org/web/20221007162243/https://www.konzum.hr/web/products/kikiriki-500-g;29,99 kn;3.98 €
Franck Kikiriki slani 500 g;2023-02-08;https://web.archive.org/web/20230208173722/https://www.konzum.hr/web/products/kikiriki-500-g;3,98 €;3.98 €
Franck Kikiriki slani 500 g;2023-06-02;https://web.archive.org/web/20230602123514/https://www.konzum.hr/web/products/kikiriki-500-g;4,69 €;4.69 €
Franck Kikiriki slani 500 g;2023-12-01;https://web.archive.org/web/20231201202312/https://www.konzum.hr/web/products/kikiriki-500-g;4,69 €;4.69 €
Franck Kikiriki slani 500 g;2024-05-28;https://web.archive.org/web/20240528111204/https://www.konzum.hr/web/products/kikiriki-500-g;4,69 €;4.69 €
Franck Kikiriki slani 500 g;2024-11-12;https://web.archive.org/web/20241112132510/https://www.konzum.hr/web/products/kikiriki-500-g;4,85 €;4.85 €
