Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Jar Deterdžent za pranje posuđa lemon 450 ml;2020-09-26;https://web.archive.org/web/20200926000846/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;9,99 kn;1.33 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2021-11-27;https://web.archive.org/web/20211127204513/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;10,99 kn;1.46 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2022-08-18;https://web.archive.org/web/20220818105433/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;15,99 kn;2.12 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2022-12-04;https://web.archive.org/web/20221204083809/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;15,99 kn;2.12 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2023-11-30;https://web.archive.org/web/20231130173510/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;1,99 €;1.99 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2024-04-22;https://web.archive.org/web/20240422125020/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;1,99 €;1.99 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2024-08-03;https://web.archive.org/web/20240803131952/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;1,99 €;1.99 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2024-12-12;https://web.archive.org/web/20241212074310/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;2,39 €;2.39 €
Jar Deterdžent za pranje posuđa lemon 450 ml;2025-03-06;https://web.archive.org/web/20250306101213/https://www.konzum.hr/web/products/jar-lemon-deterdzent-za-pranje-suda-450-ml;2,39 €;2.39 €
