Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Head&Shoulders Sensitive šampon 400 ml;2021-06-22;https://web.archive.org/web/20210622224553/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;37,99 kn;5.04 €
Head&Shoulders Sensitive Šampon 400 ml;2021-09-25;https://web.archive.org/web/20210925235037/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;37,99 kn;5.04 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2022-05-25;https://web.archive.org/web/20220525092405/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;39,99 kn;5.31 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2022-10-07;https://web.archive.org/web/20221007182724/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;44,99 kn;5.97 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2023-02-08;https://web.archive.org/web/20230208162657/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;5,97 €;5.97 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2023-12-01;https://web.archive.org/web/20231201191309/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;5,97 €;5.97 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2024-05-27;https://web.archive.org/web/20240527120450/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;5,85 €;5.85 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2024-10-06;https://web.archive.org/web/20241006190520/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;6,69 €;6.69 €
Head&Shoulders Sensitive Scalp Šampon 400 ml;2025-01-21;https://web.archive.org/web/20250121143733/https://www.konzum.hr/web/products/head-shoulders-sensitive-sampon-400-ml;6,69 €;6.69 €
