Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Barilla Fusilli tjestenina 500 g;2020-08-10;https://web.archive.org/web/20200810030618/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;8,99 kn;1.19 €
Barilla Tjestenina fusilli 500 g;2021-05-05;https://web.archive.org/web/20210505224239/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;10,99 kn;1.46 €
Barilla Tjestenina fusilli 500 g;2022-05-17;https://web.archive.org/web/20220517051912/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;12,99 kn;1.72 €
Barilla Tjestenina fusilli 500 g;2022-12-08;https://web.archive.org/web/20221208103217/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;13,99 kn;1.86 €
Barilla Tjestenina fusilli 500 g;2023-05-30;https://web.archive.org/web/20230530152654/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;2,09 €;2.09 €
Barilla Tjestenina fusilli 500 g;2023-12-11;https://web.archive.org/web/20231211162946/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;2,09 €;2.09 €
Barilla Tjestenina fusilli 500 g;2024-06-25;https://web.archive.org/web/20240625063621/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;1,95 €;1.95 €
Barilla Tjestenina fusilli 500 g;2024-12-14;https://web.archive.org/web/20241214111825/https://www.konzum.hr/web/products/barilla-fusilli-tjestenina-500-g;1,95 €;1.95 €
