Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
K Plus Pileći file od prsa;2021-09-28;https://web.archive.org/web/20210928013027/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;29,99 kn;3.98 €
K Plus Pileći file od prsa;2022-07-03;https://web.archive.org/web/20220703083121/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;28,00 kn;3.72 €
K Plus Pileći file od prsa;2023-07-30;https://web.archive.org/web/20230730154116/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,78 €;3.78 €
K Plus Pileći file od prsa;2023-11-30;https://web.archive.org/web/20231130105056/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,78 €;3.78 €
K Plus Pileći file od prsa;2024-02-24;https://web.archive.org/web/20240224154854/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,78 €;3.78 €
K Plus Pileći file od prsa;2024-04-06;https://web.archive.org/web/20240406062848/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,73 €;3.73 €
K Plus Pileći file od prsa;2024-05-28;https://web.archive.org/web/20240528103300/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,73 €;3.73 €
K Plus Pileći file od prsa;2024-09-09;https://web.archive.org/web/20240909145649/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,73 €;3.73 €
K Plus Pileći file od prsa;2024-12-02;https://web.archive.org/web/20241202232037/https://www.konzum.hr/web/products/k-plus-pileci-file-od-prsa;3,73 €;3.73 €
