Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Haribo Bomboni zlatni medo 100 g;2021-04-11;https://web.archive.org/web/20210411163645/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;7,99 kn;1.06 €
Haribo Bomboni zlatni medo 100 g;2021-09-24;https://web.archive.org/web/20210924220716/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;7,99 kn;1.06 €
Haribo Bomboni zlatni medo 100 g;2022-07-03;https://web.archive.org/web/20220703091957/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;8,99 kn;1.19 €
Haribo Bomboni zlatni medo 100 g;2023-02-06;https://web.archive.org/web/20230206133730/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;1,19 €;1.19 €
Haribo Bomboni zlatni medo 100 g;2023-09-22;https://web.archive.org/web/20230922055825/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;1,45 €;1.45 €
Haribo Bomboni zlatni medo 100 g;2024-03-02;https://web.archive.org/web/20240302010852/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;1,59 €;1.59 €
Haribo Bomboni zlatni medo 100 g;2024-06-25;https://web.archive.org/web/20240625031356/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;1,59 €;1.59 €
Haribo Bomboni zlatni medo 100 g;2024-09-10;https://web.archive.org/web/20240910050945/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;1,59 €;1.59 €
Haribo Bomboni zlatni medo 100 g;2025-01-15;https://web.archive.org/web/20250115100256/https://www.konzum.hr/web/products/haribo-zlatni-medo-gumeni-bomboni-100-g;1,59 €;1.59 €
